Number,Field,Notes,,,
1349,"Thin On The Ground: Rare, seldom encountered",,,,
1350,Think Big: Consider ambitious plans; avoid becoming overly concerned with details,,,,
1351,Think Outside the Box: Try to solve a problem in an original way; think creatively,,,,
1352,Think Tank: A group of experts engaged in ongoing studies of a particular subject; a policy study group,,,,
1353,Think Tank: A group of experts engaged in ongoing studies of a particular subject; a policy study group,,,,
1354,Third Rail: A topic so sensitive that it is dangerous to raise. This is especially used in political contexts,,,,
1355,"Third Time’s a Charm: Even if you fail at something twice, you may well succeed the third time.",,,,
1356,Thirty-Thousand-Foot View: A very broad or general perspective,,,,
1357,This Has (Person X) Written All Over It: [Person X] would really like or be well suited to this.,,,,
1358,This Is Not Your Father’s : This item has been much updated from its earlier versions.,,,,
1359,Three Sheets to the Wind: Very drunk,,,,
1360,Through the Grapevine: Via gossip,,,,
1361,Through Thick and Thin: In good times and bad,,,,
1362,Throw a Wet Blanket on (Something): Discourage plans for something,,,,
1363,Throw a Wrench Into: To sabotage; to cause to fail,,,,
1364,"Throw Caution to the Wind: To act in a daring way, without forethough",,,,
1365,Throw Down the Gauntlet: To issue a challenge,,,,
1366,"The Whole Shebang: Everything, all the parts of something",,,,
1367,"Throw in the Towel: To give up, admit defeat",,,,
1368,Throw Someone for a Loop: Deeply surprise someone; catch someone off guard,,,,
1369,Throw Someone Under the Bus: Sacrifice someone else’s interests for your own personal gain,,,,
1370,Throw the Baby Out with the Bath Water: Eliminate something good while discarding the bad parts of something,,,,
1371,Throw the Baby Out with the Bath Water: To discard something valuable or important while disposing of something worthless,,,,
1372,Throw The Book At: Prosecute legally as strongly as possible,,,,
1373,"Throw the Fight: Intentionally lose a contest, usually in collusion with gamblers",,,,
1374,"Throw the Game: Intentionally lose a contest, usually in collusion with gamblers",,,,
1375,"Throw the Match: Intentionally lose a contest, usually in collusion with gamblers",,,,
1376,Thumbs-Up: Approval,,,,
1377,Train Wreck: Anything that develops in a disastrous way,,,,
1378,Trash Talk: Insults directed at one’s opponent in a sporting event or contest,,,,
1379,Tread Water: Maintain a current situation without improvement or decline,,,,
1380,Trial Balloon: A test of someone’s or the public’s reaction,,,,
1381,"Trip the Light Fantastic: Dance well; do ballroom dancing




U Turn: A complete change of opinion, direction, etc.",,,,
1382,Ugly Duckling: An awkward child or young person who grows into a beautiful person,,,,
1383,"Under (Below) the Radar: Not generally perceived, below popular consciousness",,,,
1384,"Under Someone’s Spell: Fascinated, entranced by someone",,,,
1385,"Under the Impression: Believing something, perhaps mistakenly",,,,
1386,Under the Table: Without being officially recorded,,,,
1387,Throw Elbows: Be combative; be aggressive (physically or figuratively),,,,
1388,Under the Weather: Not feeling well,,,,
1389,"Under Wraps: Temporarily hidden, secret",,,,
1390,"University of Life: Difficult real-life experience, as opposed to formal education",,,,
1391,Until the Cows Come Home: For a long time,,,,
1392,Until You’re Blue in the Face: For a long time with no results,,,,
1393,Up a Creek: In a very bad situation,,,,
1394,Up for Grabs: Available,,,,
1395,Up for Grabs: Available for anyone,,,,
1396,"Up in Arms: Angry, protesting (usually said of a group)",,,,
1397,Up in the Air: Still to be settled,,,,
1398,Up to One’s Neck: Nearly overwhelmed,,,,
1399,Up to Scratch: Meeting a basic standard of competence or quality,,,,
1400,Up to Snuff: Meeting a basic standard,,,,
1401,Up the Ante: Raise the stakes; increase the importance of something under discussion,,,,
1402,Up the Duff: Pregnant,,,,
1403,"Upset the Apple Cart: To disorganize or spoil something, especially an established arrangement or plan",,,,
1404,"Use One’s Head: To think, to have common sense



Vale of Tears: The world in general, envisioned as a sad place; the tribulations of life",,,,
1405,Vicious Circle: A situation in which an attempt to solve a problem makes the original problem worse.,,,,
1406,Victory Lap: Visible public appearances after a victory or accomplishment,,,,
1407,"Virgin Territory: Something that has never been explored, physically or intellectually",,,,
1408,Under the Weather: Feeling ill,,,,
1409,Waka-Jumping: Change political parties (said of politicians themselves),,,,
1410,Wake Up and Smell the Coffee: Stop deluding yourself,,,,
1411,Wake Up on the Wrong Side of the Bed: Be grumpy or ill-humored. Generally used in past tense,,,,
1412,Walk on Eggshells: To have to act very sensitively in order to avoid offending someone,,,,
1413,Walk the Plank: Be forced to resign a position,,,,
1414,Wandering Eye: A tendency to look at and desire women or men other than one’s committed romantic partner,,,,
1415,Wandering Eye: A tendency to look at and desire women or men other than one’s committed romantic partner,,,,
1416,Wash Your Hands of (Something): Decline to take further responsibility; refuse to be involved with something anymore,,,,
1417,Water Under the Bridge: Something in the past that’s no longer worth worrying about,,,,
1418,"Watering Hole: A place where alcoholic beverages are served, a bar",,,,
1419,Weekend Warrior: Someone who has an office job but enjoys contact sports on weekends; a member of a military reserve force (whose exercises are typically on weekends),,,,
1420,We’ll Cross That Bridge: When We Come to It We’ll deal with that problem if and when it comes up,,,,
1421,Welsh (Welch) on a Deal: Not observe the terms of an agreement,,,,
1422,"Wet Behind the Ears: inexperienced, immature, new to something",,,,
1423,"Wet Behind the Ears: Inexperienced, immature, new to something",,,,
1424,Wet Blanket: Someone who dampens a festive occasion,,,,
1425,"Wet Your Whistle: Drink something

7",,,,
1426,"Vote with One’s Feet: To physically depart from something as a way of showing
disapproval",,,,
1427,,,,,
1428,"Waiting in the Wings: Ready to assume responsibilities but not yet active, ready to become a successor",,,,
1429,What Goes Around Comes Around: The kind of treatment you give to others will eventually return to you; things go in cycles,,,,
1430,"What’s Good for the Goose Is Good for the Gander: What’s OK for a man is OK for a woman, too",,,,
1431,When Hell Freezes Over: Never,,,,
1432,"When In Doubt, Leave It Out: When unsure about something, omit it.",,,,
1433,"When in Rome, Do as the Romans Do: When you visit a new place, follow the customs of the people there",,,,
1434,"When It Rains, It Pours: Problems tend to come in groups.",,,,
1435,When Pigs Fly: Never,,,,
1436,When the Chips Are Down: When a situation becomes urgent or difficult,,,,
1437,Where (When) the Rubber: Meets the Road In reality; where an idea meets a real- world test,,,,
1438,"Where There’s a Will, There’s a Way: If you have a strong desire to accomplish something, you will achieve it even in the face of considerable odds.",,,,
1439,"Where There’s Smoke, There’s Fire: If there is typical evidence of something, the most likely explanation is that it is actually occurring.",,,,
1440,Whisper Sweet Nothings (in Someone’s Ear): Speak meaningless romantic utterances,,,,
1441,Whistle in the Dark: To be unrealistically confident or brave; to talk about something of which one has little knowledge,,,,
1442,Whistle Past the Graveyard: Remain optimistic despite dangers; be clueless,,,,
1443,Whistling Dixie: Being unrealistically optimistic,,,,
1444,White Elephant: An unwanted item that is difficult to sell or dispose of,,,,
1445,"Who’s She, the Cat’s Mother?: Why does she have such a high opinion of herself?",,,,
1446,Wild Goose Chase: An impossible or futile search or task,,,,
1447,Window Dressing: A misleading disguise intended to present a favorable impression,,,,
1448,Window Shop: To look at merchandise in a store without intending to buy it,,,,
1449,What Do You Make of (Him)?: What is your evaluation of this person?,,,,
1450,"With Bells On: Eagerly, willingly, and on time.",,,,
1451,Work One’s Fingers to the Bone: Work very hard over an extended period,,,,
1452,"Worn to a Frazzle: Exhausted, completely worn out",,,,
1453,Wouldn’t Be Caught Dead: Would absolutely not allow myself to do this,,,,
1454,"Writing (Handwriting) on the Wall: Hints of coming disaster




Year In, Year Out: Annually without change",,,,
1455,"You Can Lead a Horse to Water, but You Can’t Make It Drink: It’s very hard to force someone to do something against his or her will.",,,,
1456,You Can Say That Again!: I agree totally!,,,,
1457,You Can Take It to the Bank: I absolutely guarantee this,,,,
1458,You Can’t Judge a Book by Its Cover: You can’t know people (or things) well by their external appearances.,,,,
1459,You Can’t Make an Omelet (Omelette): Without Breaking,,,,
1460,You Can’t Make Fish of One and Fowl of the Other: People must be treated equally.,,,,
1461,You Know the Drill: You are already familiar with the procedure.,,,,
1462,"You Snooze, You Lose: If you delay or are not alert, you will miss opportunities",,,,
1463,"Young at Heart: Having a youthful outlook, regardless of age",,,,
1464,Your Guess Is as Good as Mine: I don’t know; I have no idea,,,,
1465,"Your Mileage May Vary: You may get different results. This does not necessarily refer to a car, although it may.",,,,
1466,Your Number Is Up: You are going to die (or suffer some bad misfortune or setback),,,,
1467,You’re Driving Me Nuts: To make someone giddy or crazy,,,,
1468,"Witch Hunt: An organized attempt to persecute an unpopular group of people and
blame them for a problem.",,,,
1469,Yours Truly: Me,,,,
1471,Zip One’s Lip: Be quiet,,,,
1472,Zero In On: Focus closely on something; take aim at something,,,,
1473,Zig When One Should Be Zagging: To make an error; to choose an incorrect course,,,,
1474,Sword of Damocles: Something that causes a feeling of constant threat.,,,,
DSFSDF,,Have a Tough Row to Hoe: Be faced with a task that is difficult because of unfavorable conditions,,,
or Skill,,Seize the Day: Take an opportunity,,,
,,Cut It Fine: To do something at the last moment,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
